	id	ast	blk	dreb	fg3_pct	pts	reb	stl	turnover	game_season	player_id	player_first_name	player_height_feet	player_last_name	player_position	player_team_id	team_id	team_full_name
29	9461025	0	0	0	0.0	0	0	0	0	2021	4197232	Arnoldas		Kulboka	F	4	4	Charlotte Hornets
30	9461026	0	0	0	0.0	0	0	0	0	2021	17896061	Scottie		Lewis	G	4	4	Charlotte Hornets
31	9461029	0	0	0	0.0	0	0	0	0	2021	3547282	Nick		Richards	C	4	4	Charlotte Hornets
32	9461030	0	0	0	0.0	0	0	0	0	2021	422	Ish	6.0	Smith	G	4	4	Charlotte Hornets
33	9461031	0	0	0	0.0	0	0	0	0	2021	18678001	JT		Thor	F	4	4	Charlotte Hornets
34	9462116	0	1	1	0.0	4	2	1	0	2021	350	David	6.0	Nwaba	G	11	11	Houston Rockets
35	9462115	1	0	0	0.0	2	0	1	1	2021	17895968	Daishen		Nix	F	11	11	Houston Rockets
36	9462112	0	1	1	0.0	0	3	1	0	2021	17896070	Usman		Garuba	F	11	11	Houston Rockets
37	9463059	5	2	5	0.0	17	7	1	3	2021	17896076	Evan		Mobley	F-C	6	6	Cleveland Cavaliers
38	9463058	1	1	4	37.5	15	5	0	0	2021	297	Lauri	7.0	Markkanen	F	6	6	Cleveland Cavaliers
39	9463060	1	2	11	0.0	18	17	1	0	2021	9	Jarrett	6.0	Allen	C	6	6	Cleveland Cavaliers
40	9463061	2	1	1	100.0	9	3	1	2	2021	3547279	Lamar		Stevens	F	6	6	Cleveland Cavaliers
41	9463062	11	0	4	16.7	12	5	1	4	2021	666581	Darius		Garland	G	6	6	Cleveland Cavaliers
42	9463065	2	2	3	25.0	18	3	0	2	2021	285	Kevin	6.0	Love	F-C	6	6	Cleveland Cavaliers
43	9463067	1	0	3	33.3	15	3	0	1	2021	359	Cedi	6.0	Osman	F	6	6	Cleveland Cavaliers
44	9463063	0	0	0	0.0	0	0	0	0	2021	118	Ed	6.0	Davis	C	6	6	Cleveland Cavaliers
45	9463064	0	0	0	0.0	0	0	0	0	2021	3091	Brandon	6.0	Goodwin		6	6	Cleveland Cavaliers
46	9463066	0	0	0	0.0	0	0	0	0	2021	17554003	RJ		Nembhard Jr.	G	6	6	Cleveland Cavaliers
47	9463068	0	0	0	0.0	0	0	0	0	2021	19465586	Kevin		Pangos	G	6	6	Cleveland Cavaliers
48	9462111	2	0	2	42.9	13	2	1	3	2021	17896023	Josh		Christopher	G	11	11	Houston Rockets
49	9462110	1	0	1	0.0	0	2	0	1	2021	21	D.J.	6.0	Augustin	G	11	11	Houston Rockets
50	9463069	6	0	3	33.3	5	4	2	3	2021	400	Rajon	6.0	Rondo	G	6	6	Cleveland Cavaliers
51	9463071	0	0	0	0.0	0	0	0	0	2021	666971	Dylan		Windler	G-F	6	6	Cleveland Cavaliers
52	9463070	0	0	0	0.0	0	1	0	1	2021	666940	Dean		Wade	F	6	6	Cleveland Cavaliers
53	9463072	2	0	2	60.0	14	3	1	0	2021	30	Harrison	6.0	Barnes	F	26	26	Sacramento Kings
54	9463073	0	0	4	0.0	8	10	0	0	2021	24	Marvin	6.0	Bagley III	F	26	26	Sacramento Kings
55	9463074	1	1	4	0.0	4	10	0	1	2021	273	Alex	7.0	Len	C	26	26	Sacramento Kings
56	9463075	8	1	2	33.3	21	2	3	3	2021	3547245	Tyrese		Haliburton	G	26	26	Sacramento Kings
57	9463076	4	0	4	0.0	12	4	2	2	2021	161	De'Aaron	6.0	Fox	G	26	26	Sacramento Kings
58	9463082	1	0	4	0.0	11	5	1	1	2021	17553967	Neemias		Queta	C	26	26	Sacramento Kings
59	9463080	0	0	4	50.0	13	5	1	2	2021	314	Chimezie	6.0	Metu	F	26	26	Sacramento Kings
60	9463081	1	0	0	100.0	4	0	0	1	2021	17553994	Davion		Mitchell	G	26	26	Sacramento Kings
61	9463077	0	0	1	0.0	2	1	0	0	2021	666530	Terence		Davis	G	26	26	Sacramento Kings
62	9463078	0	0	0	0.0	0	0	0	0	2021	193	Maurice	6.0	Harkless	F	26	26	Sacramento Kings
63	9463083	0	0	0	0.0	0	0	0	0	2021	3547262	Jahmi'us		Ramsey	G	26	26	Sacramento Kings
64	9463700	5	1	9	28.6	28	10	2	1	2021	140	Kevin	6.0	Durant	F	3	3	Brooklyn Nets
65	9463701	1	0	1	0.0	4	2	2	1	2021	42	DeAndre'	6.0	Bembry	F	3	3	Brooklyn Nets
66	9463702	1	0	0	0.0	2	1	0	1	2021	666508	Nicolas		Claxton	F-C	3	3	Brooklyn Nets
67	9463703	2	0	0	50.0	5	2	0	0	2021	17896049	David		Duke Jr.	G	3	3	Brooklyn Nets
68	9463704	4	1	7	37.5	22	8	1	4	2021	228	Kyrie	6.0	Irving	G	3	3	Brooklyn Nets
69	9463705	3	0	2	0.0	0	2	0	1	2021	189	Blake	6.0	Griffin	F	3	3	Brooklyn Nets
70	9462109	1	0	4	33.3	14	5	0	7	2021	17895966	Jalen		Green	G	11	11	Houston Rockets
71	9462113	1	2	4	66.7	10	4	0	2	2021	3547294	Kenyon		Martin Jr.	F	11	11	Houston Rockets
72	9462114	3	0	3	20.0	5	4	1	1	2021	666754	Garrison		Mathews	G	11	11	Houston Rockets
73	9463079	3	1	3	62.5	19	3	2	0	2021	210	Buddy	6.0	Hield	G	26	26	Sacramento Kings
74	9463708	0	0	4	33.3	5	5	1	1	2021	17896044	Kessler		Edwards	F	3	3	Brooklyn Nets
75	9463713	0	0	3	57.1	21	3	3	3	2021	17896048	Cam		Thomas	G	3	3	Brooklyn Nets
76	9463709	0	0	1	0.0	4	2	0	0	2021	242	James	6.0	Johnson	F	3	3	Brooklyn Nets
77	9463710	5	1	0	33.3	3	0	0	0	2021	319	Patty	6.0	Mills	G	3	3	Brooklyn Nets
78	9463712	2	3	3	0.0	14	7	0	3	2021	17896038	Day'Ron		Sharpe	C	3	3	Brooklyn Nets
79	9463706	0	0	0	0.0	0	0	0	0	2021	69	Bruce	6.0	Brown	G	3	3	Brooklyn Nets
80	9463707	0	0	0	0.0	0	0	0	0	2021	87	Jevon	6.0	Carter	G	3	3	Brooklyn Nets
81	9463711	0	0	0	0.0	0	0	0	0	2021	318	Paul	6.0	Millsap	F	3	3	Brooklyn Nets
82	9463714	2	3	4	33.3	13	5	1	0	2021	666729	Nassir		Little	F	25	25	Portland Trail Blazers
83	9463715	1	3	4	71.4	21	4	3	1	2021	108	Robert	6.0	Covington	F	25	25	Portland Trail Blazers
84	9463716	3	0	6	0.0	14	8	1	2	2021	349	Jusuf	7.0	Nurkic	C	25	25	Portland Trail Blazers
85	9463717	0	2	5	62.5	20	5	1	2	2021	309	Ben		McLemore	G	25	25	Portland Trail Blazers
86	9463718	11	0	6	18.2	23	6	0	3	2021	419	Anfernee	6.0	Simons	G	25	25	Portland Trail Blazers
87	9463720	2	0	3	25.0	9	5	1	2	2021	3547164	CJ		Elleby	F-G	25	25	Portland Trail Blazers
88	9463723	0	1	4	0.0	4	6	0	2	2021	17896058	Trendon		Watford	F	25	25	Portland Trail Blazers
89	9461745	0	2	9	0.0	6	10	1	0	2021	666486	Devontae		Cacok	F-C	27	27	San Antonio Spurs
90	9463084	0	0	0	0.0	0	0	0	0	2021	444	Tristan	6.0	Thompson	C-F	26	26	Sacramento Kings
91	9463085	0	0	0	0.0	0	0	0	0	2021	3547288	Robert		Woodard II	F	26	26	Sacramento Kings
